series,x,y
Grayscale,0.5,0.0
Grayscale,1.5,0.0
Grayscale,2.5,0.0
Grayscale,3.5,0.0
Grayscale,4.5,0.0
Grayscale,5.5,0.0
Grayscale,6.5,0.0
Grayscale,7.5,0.0
Grayscale,8.5,0.0
Grayscale,9.5,0.0
Grayscale,10.5,0.0
Grayscale,11.5,0.0
Grayscale,12.5,0.0
Grayscale,13.5,0.0
Grayscale,14.5,0.0
Grayscale,15.5,0.0
Grayscale,16.5,0.0
Grayscale,17.5,0.0
Grayscale,18.5,0.0
Grayscale,19.5,0.0
Grayscale,20.5,0.0
Grayscale,21.5,0.0
Grayscale,22.5,0.0
Grayscale,23.5,0.0
Grayscale,24.5,0.0
Grayscale,25.5,1.0
Grayscale,26.5,6.0
Grayscale,27.5,20.0
Grayscale,28.5,29.0
Grayscale,29.5,59.0
Grayscale,30.5,97.0
Grayscale,31.5,137.0
Grayscale,32.5,181.0
Grayscale,33.5,220.0
Grayscale,34.5,301.0
Grayscale,35.5,421.0
Grayscale,36.5,500.0
Grayscale,37.5,612.0
Grayscale,38.5,760.0
Grayscale,39.5,940.0
Grayscale,40.5,1062.0
Grayscale,41.5,1254.0
Grayscale,42.5,1443.0
Grayscale,43.5,1646.0
Grayscale,44.5,1761.0
Grayscale,45.5,1882.0
Grayscale,46.5,1998.0
Grayscale,47.5,2092.0
Grayscale,48.5,2020.0
Grayscale,49.5,2105.0
Grayscale,50.5,2086.0
Grayscale,51.5,2029.0
Grayscale,52.5,1979.0
Grayscale,53.5,1808.0
Grayscale,54.5,1731.0
Grayscale,55.5,1668.0
Grayscale,56.5,1578.0
Grayscale,57.5,1469.0
Grayscale,58.5,1278.0
Grayscale,59.5,1236.0
Grayscale,60.5,1220.0
Grayscale,61.5,1003.0
Grayscale,62.5,930.0
Grayscale,63.5,976.0
Grayscale,64.5,880.0
Grayscale,65.5,890.0
Grayscale,66.5,791.0
Grayscale,67.5,797.0
Grayscale,68.5,771.0
Grayscale,69.5,780.0
Grayscale,70.5,852.0
Grayscale,71.5,819.0
Grayscale,72.5,832.0
Grayscale,73.5,785.0
Grayscale,74.5,879.0
Grayscale,75.5,909.0
Grayscale,76.5,868.0
Grayscale,77.5,854.0
Grayscale,78.5,947.0
Grayscale,79.5,973.0
Grayscale,80.5,905.0
Grayscale,81.5,913.0
Grayscale,82.5,867.0
Grayscale,83.5,935.0
Grayscale,84.5,932.0
Grayscale,85.5,967.0
Grayscale,86.5,1008.0
Grayscale,87.5,1016.0
Grayscale,88.5,1063.0
Grayscale,89.5,1134.0
Grayscale,90.5,1120.0
Grayscale,91.5,1190.0
Grayscale,92.5,1218.0
Grayscale,93.5,1325.0
Grayscale,94.5,1399.0
Grayscale,95.5,1538.0
Grayscale,96.5,1621.0
Grayscale,97.5,1806.0
Grayscale,98.5,1871.0
Grayscale,99.5,2086.0
Grayscale,100.5,1894.0
Grayscale,101.5,1933.0
Grayscale,102.5,1956.0
Grayscale,103.5,1836.0
Grayscale,104.5,1761.0
Grayscale,105.5,1729.0
Grayscale,106.5,1612.0
Grayscale,107.5,1504.0
Grayscale,108.5,1435.0
Grayscale,109.5,1366.0
Grayscale,110.5,1362.0
Grayscale,111.5,1344.0
Grayscale,112.5,1345.0
Grayscale,113.5,1451.0
Grayscale,114.5,1359.0
Grayscale,115.5,1355.0
Grayscale,116.5,1384.0
Grayscale,117.5,1448.0
Grayscale,118.5,1568.0
Grayscale,119.5,1572.0
Grayscale,120.5,1604.0
Grayscale,121.5,1776.0
Grayscale,122.5,1817.0
Grayscale,123.5,1894.0
Grayscale,124.5,2029.0
Grayscale,125.5,2140.0
Grayscale,126.5,2304.0
Grayscale,127.5,2321.0
Grayscale,128.5,2369.0
Grayscale,129.5,2521.0
Grayscale,130.5,2306.0
Grayscale,131.5,2304.0
Grayscale,132.5,2252.0
Grayscale,133.5,2078.0
Grayscale,134.5,1992.0
Grayscale,135.5,1822.0
Grayscale,136.5,1933.0
Grayscale,137.5,1903.0
Grayscale,138.5,2025.0
Grayscale,139.5,2136.0
Grayscale,140.5,2260.0
Grayscale,141.5,2304.0
Grayscale,142.5,2327.0
Grayscale,143.5,2453.0
Grayscale,144.5,2459.0
Grayscale,145.5,2408.0
Grayscale,146.5,2236.0
Grayscale,147.5,2316.0
Grayscale,148.5,2287.0
Grayscale,149.5,2174.0
Grayscale,150.5,2282.0
Grayscale,151.5,2316.0
Grayscale,152.5,2391.0
Grayscale,153.5,2592.0
Grayscale,154.5,2691.0
Grayscale,155.5,2740.0
Grayscale,156.5,2705.0
Grayscale,157.5,2552.0
Grayscale,158.5,2414.0
Grayscale,159.5,2261.0
Grayscale,160.5,2041.0
Grayscale,161.5,1853.0
Grayscale,162.5,1779.0
Grayscale,163.5,1616.0
Grayscale,164.5,1474.0
Grayscale,165.5,1425.0
Grayscale,166.5,1352.0
Grayscale,167.5,1234.0
Grayscale,168.5,1253.0
Grayscale,169.5,1196.0
Grayscale,170.5,1170.0
Grayscale,171.5,1208.0
Grayscale,172.5,1342.0
Grayscale,173.5,1263.0
Grayscale,174.5,1233.0
Grayscale,175.5,1158.0
Grayscale,176.5,1186.0
Grayscale,177.5,1224.0
Grayscale,178.5,1086.0
Grayscale,179.5,943.0
Grayscale,180.5,904.0
Grayscale,181.5,822.0
Grayscale,182.5,786.0
Grayscale,183.5,689.0
Grayscale,184.5,609.0
Grayscale,185.5,630.0
Grayscale,186.5,643.0
Grayscale,187.5,679.0
Grayscale,188.5,634.0
Grayscale,189.5,664.0
Grayscale,190.5,739.0
Grayscale,191.5,795.0
Grayscale,192.5,830.0
Grayscale,193.5,941.0
Grayscale,194.5,905.0
Grayscale,195.5,976.0
Grayscale,196.5,920.0
Grayscale,197.5,910.0
Grayscale,198.5,843.0
Grayscale,199.5,822.0
Grayscale,200.5,868.0
Grayscale,201.5,903.0
Grayscale,202.5,834.0
Grayscale,203.5,886.0
Grayscale,204.5,909.0
Grayscale,205.5,969.0
Grayscale,206.5,976.0
Grayscale,207.5,1066.0
Grayscale,208.5,1042.0
Grayscale,209.5,1068.0
Grayscale,210.5,957.0
Grayscale,211.5,981.0
