series,x,y
Red,0.5,0.0
Red,1.5,0.0
Red,2.5,0.0
Red,3.5,0.0
Red,4.5,0.0
Red,5.5,0.0
Red,6.5,0.0
Red,7.5,0.0
Red,8.5,0.0
Red,9.5,0.0
Red,10.5,0.0
Red,11.5,0.0
Red,12.5,0.0
Red,13.5,0.0
Red,14.5,0.0
Red,15.5,0.0
Red,16.5,0.0
Red,17.5,0.0
Red,18.5,0.0
Red,19.5,0.0
Red,20.5,0.0
Red,21.5,0.0
Red,22.5,0.0
Red,23.5,0.0
Red,24.5,0.0
Red,25.5,0.0
Red,26.5,0.0
Red,27.5,0.0
Red,28.5,0.0
Red,29.5,0.0
Red,30.5,0.0
Red,31.5,0.0
Red,32.5,0.0
Red,33.5,0.0
Red,34.5,0.0
Red,35.5,0.0
Red,36.5,0.0
Red,37.5,0.0
Red,38.5,0.0
Red,39.5,0.0
Red,40.5,0.0
Red,41.5,0.0
Red,42.5,0.0
Red,43.5,0.0
Red,44.5,0.0
Red,45.5,0.0
Red,46.5,0.0
Red,47.5,0.0
Red,48.5,0.0
Red,49.5,0.0
Red,50.5,0.0
Red,51.5,0.0
Red,52.5,0.0
Red,53.5,0.0
Red,54.5,1.0
Red,55.5,0.0
Red,56.5,1.0
Red,57.5,1.0
Red,58.5,1.0
Red,59.5,8.0
Red,60.5,6.0
Red,61.5,10.0
Red,62.5,9.0
Red,63.5,20.0
Red,64.5,37.0
Red,65.5,32.0
Red,66.5,41.0
Red,67.5,53.0
Red,68.5,74.0
Red,69.5,103.0
Red,70.5,132.0
Red,71.5,179.0
Red,72.5,193.0
Red,73.5,242.0
Red,74.5,238.0
Red,75.5,336.0
Red,76.5,386.0
Red,77.5,404.0
Red,78.5,483.0
Red,79.5,607.0
Red,80.5,628.0
Red,81.5,771.0
Red,82.5,785.0
Red,83.5,1001.0
Red,84.5,1016.0
Red,85.5,1177.0
Red,86.5,1269.0
Red,87.5,1332.0
Red,88.5,1446.0
Red,89.5,1487.0
Red,90.5,1457.0
Red,91.5,1574.0
Red,92.5,1585.0
Red,93.5,1591.0
Red,94.5,1557.0
Red,95.5,1569.0
Red,96.5,1660.0
Red,97.5,1648.0
Red,98.5,1420.0
Red,99.5,1559.0
Red,100.5,1418.0
Red,101.5,1384.0
Red,102.5,1319.0
Red,103.5,1342.0
Red,104.5,1156.0
Red,105.5,1120.0
Red,106.5,955.0
Red,107.5,969.0
Red,108.5,828.0
Red,109.5,782.0
Red,110.5,752.0
Red,111.5,737.0
Red,112.5,719.0
Red,113.5,700.0
Red,114.5,628.0
Red,115.5,673.0
Red,116.5,587.0
Red,117.5,617.0
Red,118.5,610.0
Red,119.5,592.0
Red,120.5,557.0
Red,121.5,593.0
Red,122.5,552.0
Red,123.5,566.0
Red,124.5,582.0
Red,125.5,559.0
Red,126.5,571.0
Red,127.5,520.0
Red,128.5,664.0
