series,x,y
Mapping,0.0,0.0
Mapping,1.0,0.0
Mapping,2.0,0.0
Mapping,3.0,0.0
Mapping,4.0,0.0
Mapping,5.0,0.0
Mapping,6.0,0.0
Mapping,7.0,0.0
Mapping,8.0,0.0
Mapping,9.0,0.0
Mapping,10.0,0.0
Mapping,11.0,0.0
Mapping,12.0,0.0
Mapping,13.0,0.0
Mapping,14.0,0.0
Mapping,15.0,0.0
Mapping,16.0,0.0
Mapping,17.0,0.0
Mapping,18.0,0.0
Mapping,19.0,0.0
Mapping,20.0,0.0
Mapping,21.0,0.0
Mapping,22.0,0.0
Mapping,23.0,0.0
Mapping,24.0,0.0
Mapping,25.0,0.0
Mapping,26.0,0.0
Mapping,27.0,0.0
Mapping,28.0,0.0
Mapping,29.0,0.0
Mapping,30.0,0.0
Mapping,31.0,0.0
Mapping,32.0,1.0
Mapping,33.0,1.0
Mapping,34.0,1.0
Mapping,35.0,1.0
Mapping,36.0,2.0
Mapping,37.0,3.0
Mapping,38.0,3.0
Mapping,39.0,4.0
Mapping,40.0,5.0
Mapping,41.0,6.0
Mapping,42.0,8.0
Mapping,43.0,9.0
Mapping,44.0,11.0
Mapping,45.0,13.0
Mapping,46.0,15.0
Mapping,47.0,17.0
Mapping,48.0,19.0
Mapping,49.0,21.0
Mapping,50.0,23.0
Mapping,51.0,25.0
Mapping,52.0,27.0
Mapping,53.0,29.0
Mapping,54.0,30.0
Mapping,55.0,32.0
Mapping,56.0,33.0
Mapping,57.0,35.0
Mapping,58.0,36.0
Mapping,59.0,37.0
Mapping,60.0,39.0
Mapping,61.0,40.0
Mapping,62.0,40.0
Mapping,63.0,41.0
Mapping,64.0,42.0
Mapping,65.0,43.0
Mapping,66.0,44.0
Mapping,67.0,45.0
Mapping,68.0,45.0
Mapping,69.0,46.0
Mapping,70.0,47.0
Mapping,71.0,48.0
Mapping,72.0,49.0
Mapping,73.0,49.0
Mapping,74.0,50.0
Mapping,75.0,51.0
Mapping,76.0,52.0
Mapping,77.0,53.0
Mapping,78.0,54.0
Mapping,79.0,55.0
Mapping,80.0,56.0
Mapping,81.0,56.0
Mapping,82.0,57.0
Mapping,83.0,58.0
Mapping,84.0,59.0
Mapping,85.0,60.0
Mapping,86.0,61.0
Mapping,87.0,62.0
Mapping,88.0,63.0
Mapping,89.0,64.0
Mapping,90.0,65.0
Mapping,91.0,66.0
Mapping,92.0,68.0
Mapping,93.0,69.0
Mapping,94.0,70.0
Mapping,95.0,72.0
Mapping,96.0,73.0
Mapping,97.0,75.0
Mapping,98.0,77.0
Mapping,99.0,79.0
Mapping,100.0,81.0
Mapping,101.0,83.0
Mapping,102.0,84.0
Mapping,103.0,86.0
Mapping,104.0,88.0
Mapping,105.0,90.0
Mapping,106.0,91.0
Mapping,107.0,93.0
Mapping,108.0,94.0
Mapping,109.0,95.0
Mapping,110.0,97.0
Mapping,111.0,98.0
Mapping,112.0,99.0
Mapping,113.0,101.0
Mapping,114.0,102.0
Mapping,115.0,103.0
Mapping,116.0,105.0
Mapping,117.0,106.0
Mapping,118.0,108.0
Mapping,119.0,109.0
Mapping,120.0,111.0
Mapping,121.0,113.0
Mapping,122.0,114.0
Mapping,123.0,116.0
Mapping,124.0,118.0
Mapping,125.0,120.0
Mapping,126.0,122.0
Mapping,127.0,125.0
Mapping,128.0,127.0
Mapping,129.0,129.0
Mapping,130.0,132.0
Mapping,131.0,134.0
Mapping,132.0,136.0
Mapping,133.0,138.0
Mapping,134.0,140.0
Mapping,135.0,142.0
Mapping,136.0,144.0
Mapping,137.0,146.0
Mapping,138.0,148.0
Mapping,139.0,150.0
Mapping,140.0,152.0
Mapping,141.0,154.0
Mapping,142.0,156.0
Mapping,143.0,159.0
Mapping,144.0,161.0
Mapping,145.0,163.0
Mapping,146.0,166.0
Mapping,147.0,168.0
Mapping,148.0,170.0
Mapping,149.0,172.0
Mapping,150.0,174.0
Mapping,151.0,177.0
Mapping,152.0,179.0
Mapping,153.0,182.0
Mapping,154.0,184.0
Mapping,155.0,187.0
Mapping,156.0,189.0
Mapping,157.0,192.0
Mapping,158.0,194.0
Mapping,159.0,196.0
Mapping,160.0,198.0
Mapping,161.0,200.0
Mapping,162.0,202.0
Mapping,163.0,204.0
Mapping,164.0,205.0
Mapping,165.0,206.0
Mapping,166.0,208.0
Mapping,167.0,209.0
Mapping,168.0,210.0
Mapping,169.0,211.0
Mapping,170.0,212.0
Mapping,171.0,214.0
Mapping,172.0,215.0
Mapping,173.0,216.0
Mapping,174.0,217.0
Mapping,175.0,218.0
Mapping,176.0,220.0
Mapping,177.0,221.0
Mapping,178.0,222.0
Mapping,179.0,223.0
Mapping,180.0,224.0
Mapping,181.0,224.0
Mapping,182.0,225.0
Mapping,183.0,226.0
Mapping,184.0,226.0
Mapping,185.0,227.0
Mapping,186.0,228.0
Mapping,187.0,228.0
Mapping,188.0,229.0
Mapping,189.0,230.0
Mapping,190.0,230.0
Mapping,191.0,231.0
Mapping,192.0,232.0
Mapping,193.0,233.0
Mapping,194.0,234.0
Mapping,195.0,235.0
Mapping,196.0,236.0
Mapping,197.0,236.0
Mapping,198.0,237.0
Mapping,199.0,238.0
Mapping,200.0,239.0
Mapping,201.0,240.0
Mapping,202.0,241.0
Mapping,203.0,241.0
Mapping,204.0,242.0
Mapping,205.0,243.0
Mapping,206.0,244.0
Mapping,207.0,245.0
Mapping,208.0,246.0
Mapping,209.0,247.0
Mapping,210.0,248.0
Mapping,211.0,249.0
Mapping,212.0,250.0
Mapping,213.0,251.0
Mapping,214.0,252.0
Mapping,215.0,252.0
Mapping,216.0,253.0
Mapping,217.0,253.0
Mapping,218.0,253.0
Mapping,219.0,254.0
Mapping,220.0,254.0
Mapping,221.0,254.0
Mapping,222.0,254.0
Mapping,223.0,255.0
Mapping,224.0,255.0
Mapping,225.0,255.0
Mapping,226.0,255.0
Mapping,227.0,255.0
Mapping,228.0,255.0
Mapping,229.0,255.0
Mapping,230.0,255.0
Mapping,231.0,255.0
Mapping,232.0,255.0
Mapping,233.0,255.0
Mapping,234.0,255.0
Mapping,235.0,255.0
Mapping,236.0,255.0
Mapping,237.0,255.0
Mapping,238.0,255.0
Mapping,239.0,255.0
Mapping,240.0,255.0
Mapping,241.0,255.0
Mapping,242.0,255.0
Mapping,243.0,255.0
Mapping,244.0,255.0
Mapping,245.0,255.0
Mapping,246.0,255.0
Mapping,247.0,255.0
Mapping,248.0,255.0
Mapping,249.0,255.0
Mapping,250.0,255.0
Mapping,251.0,255.0
Mapping,252.0,255.0
Mapping,253.0,255.0
Mapping,254.0,255.0
Mapping,255.0,255.0
