series,x,y
Before,0.5,0.0
Before,1.5,0.0
Before,2.5,0.0
Before,3.5,0.0
Before,4.5,0.0
Before,5.5,0.0
Before,6.5,0.0
Before,7.5,0.0
Before,8.5,0.0
Before,9.5,0.0
Before,10.5,0.0
Before,11.5,0.0
Before,12.5,0.0
Before,13.5,0.0
Before,14.5,0.0
Before,15.5,0.0
Before,16.5,0.0
Before,17.5,0.0
Before,18.5,0.0
Before,19.5,0.0
Before,20.5,0.0
Before,21.5,0.0
Before,22.5,0.0
Before,23.5,0.0
Before,24.5,0.0
Before,25.5,1.0
Before,26.5,6.0
Before,27.5,20.0
Before,28.5,29.0
Before,29.5,59.0
Before,30.5,97.0
Before,31.5,137.0
Before,32.5,181.0
Before,33.5,220.0
Before,34.5,300.0
Before,35.5,421.0
Before,36.5,500.0
Before,37.5,613.0
Before,38.5,760.0
Before,39.5,940.0
Before,40.5,1061.0
Before,41.5,1254.0
Before,42.5,1442.0
Before,43.5,1647.0
Before,44.5,1762.0
Before,45.5,1881.0
Before,46.5,1998.0
Before,47.5,2093.0
Before,48.5,2020.0
Before,49.5,2103.0
Before,50.5,2086.0
Before,51.5,2031.0
Before,52.5,1979.0
Before,53.5,1807.0
Before,54.5,1732.0
Before,55.5,1668.0
Before,56.5,1578.0
Before,57.5,1469.0
Before,58.5,1276.0
Before,59.5,1238.0
Before,60.5,1220.0
Before,61.5,999.0
Before,62.5,934.0
Before,63.5,975.0
Before,64.5,881.0
Before,65.5,889.0
Before,66.5,791.0
Before,67.5,798.0
Before,68.5,771.0
Before,69.5,779.0
Before,70.5,852.0
Before,71.5,820.0
Before,72.5,831.0
Before,73.5,786.0
Before,74.5,878.0
Before,75.5,909.0
Before,76.5,869.0
Before,77.5,853.0
Before,78.5,947.0
Before,79.5,972.0
Before,80.5,907.0
Before,81.5,913.0
Before,82.5,864.0
Before,83.5,935.0
Before,84.5,934.0
Before,85.5,967.0
Before,86.5,1009.0
Before,87.5,1016.0
Before,88.5,1062.0
Before,89.5,1132.0
Before,90.5,1123.0
Before,91.5,1188.0
Before,92.5,1220.0
Before,93.5,1323.0
Before,94.5,1401.0
Before,95.5,1538.0
Before,96.5,1619.0
Before,97.5,1808.0
Before,98.5,1870.0
Before,99.5,2087.0
Before,100.5,1894.0
Before,101.5,1932.0
Before,102.5,1956.0
Before,103.5,1836.0
Before,104.5,1762.0
Before,105.5,1729.0
Before,106.5,1612.0
Before,107.5,1504.0
Before,108.5,1434.0
Before,109.5,1367.0
Before,110.5,1362.0
Before,111.5,1344.0
Before,112.5,1345.0
Before,113.5,1451.0
Before,114.5,1358.0
Before,115.5,1356.0
