series,x,y
Mapping,0.0,0.0
Mapping,1.0,0.0
Mapping,2.0,0.0
Mapping,3.0,0.0
Mapping,4.0,0.0
Mapping,5.0,0.0
Mapping,6.0,0.0
Mapping,7.0,0.0
Mapping,8.0,0.0
Mapping,9.0,0.0
Mapping,10.0,0.0
Mapping,11.0,0.0
Mapping,12.0,0.0
Mapping,13.0,0.0
Mapping,14.0,0.0
Mapping,15.0,0.0
Mapping,16.0,0.0
Mapping,17.0,0.0
Mapping,18.0,0.0
Mapping,19.0,0.0
Mapping,20.0,0.0
Mapping,21.0,0.0
Mapping,22.0,0.0
Mapping,23.0,0.0
Mapping,24.0,0.0
Mapping,25.0,3.814697265625e-06
Mapping,26.0,2.6702880859375e-05
Mapping,27.0,0.000102996826171875
Mapping,28.0,0.000213623046875
Mapping,29.0,0.000438690185546875
Mapping,30.0,0.0008087158203125
Mapping,31.0,0.001331329345703125
Mapping,32.0,0.00202178955078125
Mapping,33.0,0.00286102294921875
Mapping,34.0,0.00400543212890625
Mapping,35.0,0.005611419677734375
Mapping,36.0,0.007518768310546875
Mapping,37.0,0.009857177734375
Mapping,38.0,0.01275634765625
Mapping,39.0,0.0163421630859375
Mapping,40.0,0.020389556884765625
Mapping,41.0,0.025173187255859375
Mapping,42.0,0.030673980712890625
Mapping,43.0,0.036956787109375
Mapping,44.0,0.04367828369140625
Mapping,45.0,0.050853729248046875
Mapping,46.0,0.058475494384765625
Mapping,47.0,0.06645965576171875
Mapping,48.0,0.07416534423828125
Mapping,49.0,0.08218765258789062
Mapping,50.0,0.09014511108398438
Mapping,51.0,0.09789276123046875
Mapping,52.0,0.10544204711914062
Mapping,53.0,0.112335205078125
Mapping,54.0,0.1189422607421875
Mapping,55.0,0.12530517578125
Mapping,56.0,0.13132476806640625
Mapping,57.0,0.13692855834960938
Mapping,58.0,0.14179611206054688
Mapping,59.0,0.14651870727539062
Mapping,60.0,0.15117263793945312
Mapping,61.0,0.1549835205078125
Mapping,62.0,0.15854644775390625
Mapping,63.0,0.16226577758789062
Mapping,64.0,0.16562652587890625
Mapping,65.0,0.16901779174804688
Mapping,66.0,0.17203521728515625
Mapping,67.0,0.175079345703125
Mapping,68.0,0.17802047729492188
Mapping,69.0,0.18099212646484375
Mapping,70.0,0.18424224853515625
Mapping,71.0,0.18737030029296875
Mapping,72.0,0.19054031372070312
Mapping,73.0,0.19353866577148438
Mapping,74.0,0.19688796997070312
Mapping,75.0,0.20035552978515625
Mapping,76.0,0.20367050170898438
Mapping,77.0,0.2069244384765625
Mapping,78.0,0.21053695678710938
Mapping,79.0,0.21424484252929688
Mapping,80.0,0.21770477294921875
Mapping,81.0,0.22118759155273438
Mapping,82.0,0.22448348999023438
Mapping,83.0,0.22805023193359375
Mapping,84.0,0.2316131591796875
Mapping,85.0,0.23530197143554688
Mapping,86.0,0.2391510009765625
Mapping,87.0,0.2430267333984375
Mapping,88.0,0.24707794189453125
Mapping,89.0,0.25139617919921875
Mapping,90.0,0.2556800842285156
Mapping,91.0,0.2602119445800781
Mapping,92.0,0.2648658752441406
Mapping,93.0,0.2699127197265625
Mapping,94.0,0.2752571105957031
Mapping,95.0,0.2811241149902344
Mapping,96.0,0.28730010986328125
Mapping,97.0,0.29419708251953125
Mapping,98.0,0.30133056640625
Mapping,99.0,0.3092918395996094
Mapping,100.0,0.3165168762207031
Mapping,101.0,0.3238868713378906
Mapping,102.0,0.3313484191894531
Mapping,103.0,0.3383522033691406
Mapping,104.0,0.3450736999511719
Mapping,105.0,0.3516693115234375
Mapping,106.0,0.357818603515625
Mapping,107.0,0.363555908203125
Mapping,108.0,0.36902618408203125
Mapping,109.0,0.3742408752441406
Mapping,110.0,0.3794364929199219
Mapping,111.0,0.3845634460449219
Mapping,112.0,0.3896942138671875
Mapping,113.0,0.3952293395996094
Mapping,114.0,0.4004096984863281
Mapping,115.0,0.4055824279785156
Mapping,116.0,0.4108619689941406
Mapping,117.0,0.4163856506347656
Mapping,118.0,0.42236328125
Mapping,119.0,0.4283599853515625
Mapping,120.0,0.434478759765625
Mapping,121.0,0.4412574768066406
Mapping,122.0,0.44818878173828125
Mapping,123.0,0.4554100036621094
Mapping,124.0,0.4631500244140625
Mapping,125.0,0.4713172912597656
Mapping,126.0,0.4801063537597656
Mapping,127.0,0.48896026611328125
Mapping,128.0,0.49799346923828125
Mapping,129.0,0.5076141357421875
Mapping,130.0,0.5164108276367188
Mapping,131.0,0.5251998901367188
Mapping,132.0,0.5337905883789062
Mapping,133.0,0.541717529296875
Mapping,134.0,0.54931640625
Mapping,135.0,0.5562667846679688
Mapping,136.0,0.5636405944824219
Mapping,137.0,0.5708999633789062
Mapping,138.0,0.5786247253417969
Mapping,139.0,0.5867729187011719
Mapping,140.0,0.59539794921875
Mapping,141.0,0.6041831970214844
Mapping,142.0,0.6130599975585938
Mapping,143.0,0.6224174499511719
Mapping,144.0,0.6317977905273438
Mapping,145.0,0.6409835815429688
Mapping,146.0,0.6495132446289062
Mapping,147.0,0.6583480834960938
Mapping,148.0,0.6670722961425781
Mapping,149.0,0.6753654479980469
Mapping,150.0,0.6840744018554688
Mapping,151.0,0.6929092407226562
Mapping,152.0,0.7020339965820312
Mapping,153.0,0.7119331359863281
Mapping,154.0,0.7221832275390625
Mapping,155.0,0.7326545715332031
Mapping,156.0,0.7429580688476562
Mapping,157.0,0.7527046203613281
Mapping,158.0,0.76190185546875
Mapping,159.0,0.7705268859863281
Mapping,160.0,0.7783126831054688
Mapping,161.0,0.7853775024414062
Mapping,162.0,0.7921676635742188
Mapping,163.0,0.7983283996582031
Mapping,164.0,0.8039474487304688
Mapping,165.0,0.8093833923339844
Mapping,166.0,0.8145408630371094
Mapping,167.0,0.8192481994628906
Mapping,168.0,0.8240318298339844
Mapping,169.0,0.8285903930664062
Mapping,170.0,0.8330535888671875
Mapping,171.0,0.8376617431640625
Mapping,172.0,0.8427810668945312
Mapping,173.0,0.8475990295410156
Mapping,174.0,0.8523025512695312
Mapping,175.0,0.856719970703125
Mapping,176.0,0.8612442016601562
Mapping,177.0,0.8659172058105469
Mapping,178.0,0.87005615234375
Mapping,179.0,0.8736534118652344
Mapping,180.0,0.877105712890625
Mapping,181.0,0.8802413940429688
Mapping,182.0,0.8832359313964844
Mapping,183.0,0.8858642578125
Mapping,184.0,0.8881874084472656
Mapping,185.0,0.8905906677246094
Mapping,186.0,0.8930473327636719
Mapping,187.0,0.8956336975097656
Mapping,188.0,0.8980560302734375
Mapping,189.0,0.9005851745605469
Mapping,190.0,0.9034042358398438
Mapping,191.0,0.9064369201660156
Mapping,192.0,0.9096031188964844
Mapping,193.0,0.9131927490234375
Mapping,194.0,0.9166450500488281
Mapping,195.0,0.9203681945800781
Mapping,196.0,0.9238777160644531
Mapping,197.0,0.9273490905761719
Mapping,198.0,0.9305648803710938
Mapping,199.0,0.9337005615234375
Mapping,200.0,0.9370193481445312
Mapping,201.0,0.940460205078125
Mapping,202.0,0.9436416625976562
Mapping,203.0,0.947021484375
Mapping,204.0,0.9504852294921875
Mapping,205.0,0.9541854858398438
Mapping,206.0,0.9579124450683594
Mapping,207.0,0.96197509765625
Mapping,208.0,0.9659500122070312
Mapping,209.0,0.9700279235839844
Mapping,210.0,0.9736747741699219
Mapping,211.0,0.9774208068847656
Mapping,212.0,0.9810600280761719
Mapping,213.0,0.9843597412109375
Mapping,214.0,0.9870185852050781
Mapping,215.0,0.9890937805175781
Mapping,216.0,0.990966796875
Mapping,217.0,0.9924659729003906
Mapping,218.0,0.9939193725585938
Mapping,219.0,0.9950027465820312
Mapping,220.0,0.995880126953125
Mapping,221.0,0.9967727661132812
Mapping,222.0,0.9975166320800781
Mapping,223.0,0.9982337951660156
Mapping,224.0,0.9987106323242188
Mapping,225.0,0.9990043640136719
Mapping,226.0,0.9992866516113281
Mapping,227.0,0.99951171875
Mapping,228.0,0.9997062683105469
Mapping,229.0,0.9997901916503906
Mapping,230.0,0.9998626708984375
Mapping,231.0,0.9998970031738281
Mapping,232.0,0.9999237060546875
Mapping,233.0,0.9999465942382812
Mapping,234.0,0.9999771118164062
Mapping,235.0,0.9999809265136719
Mapping,236.0,0.9999809265136719
Mapping,237.0,0.9999809265136719
Mapping,238.0,0.9999847412109375
Mapping,239.0,0.9999847412109375
Mapping,240.0,0.9999847412109375
Mapping,241.0,0.9999847412109375
Mapping,242.0,0.9999923706054688
Mapping,243.0,0.9999923706054688
Mapping,244.0,0.9999961853027344
Mapping,245.0,1.0
Mapping,246.0,1.0
Mapping,247.0,1.0
Mapping,248.0,1.0
Mapping,249.0,1.0
Mapping,250.0,1.0
Mapping,251.0,1.0
Mapping,252.0,1.0
Mapping,253.0,1.0
Mapping,254.0,1.0
Mapping,255.0,1.0
