series,x,y
Applied Delta,-248.78048780487805,0.0
Applied Delta,-236.34146341463415,0.0
Applied Delta,-223.90243902439025,0.0
Applied Delta,-211.46341463414635,0.0
Applied Delta,-199.02439024390245,0.0
Applied Delta,-186.58536585365854,0.0
Applied Delta,-174.14634146341464,0.0
Applied Delta,-161.70731707317074,0.0
Applied Delta,-149.26829268292684,0.0
Applied Delta,-136.82926829268294,0.0
Applied Delta,-124.39024390243902,0.0
Applied Delta,-111.95121951219511,0.0
Applied Delta,-99.51219512195121,1.0
Applied Delta,-87.07317073170731,4.0
Applied Delta,-74.6341463414634,56.0
Applied Delta,-62.195121951219505,579.0
Applied Delta,-49.756097560975604,3101.0
Applied Delta,-37.3170731707317,11459.0
Applied Delta,-24.878048780487802,31309.0
Applied Delta,-12.439024390243901,51279.0
Applied Delta,1.4210854715202004e-14,66860.0
Applied Delta,12.43902439024393,51132.0
Applied Delta,24.87804878048783,31227.0
Applied Delta,37.31707317073173,11263.0
Applied Delta,49.75609756097563,3182.0
Applied Delta,62.195121951219534,603.0
Applied Delta,74.63414634146343,73.0
Applied Delta,87.07317073170734,12.0
Applied Delta,99.51219512195124,4.0
Applied Delta,111.95121951219514,0.0
Applied Delta,124.39024390243904,0.0
Applied Delta,136.82926829268294,0.0
Applied Delta,149.26829268292684,0.0
Applied Delta,161.70731707317074,0.0
Applied Delta,174.14634146341464,0.0
Applied Delta,186.58536585365854,0.0
Applied Delta,199.02439024390245,0.0
Applied Delta,211.46341463414635,0.0
Applied Delta,223.90243902439025,0.0
Applied Delta,236.34146341463415,0.0
Applied Delta,248.78048780487805,0.0
